,Date,days hour min sec,Distance 1,Distance 2,Distance 3,keystrokes,left,right,middle,double,wheel,x1 btn,x2 btn,idle days hour min sec
82,2020 jun. 22 08:37:33,4 days 14 hours 50 min 54 sec,4 km,504 m,71 cm,54490,11626,291,15,807,35045,0,0,4 days 8 hours 57 min 44 sec
83,2020 jun. 23 00:00:32,5 days 6 hours 13 min 53 sec,6 km,188 m,17 cm,73199,15896,4836,17,3077,47528,0,0,4 days 15 hours 2 min 57 sec
84,2020 jun. 24 00:00:31,6 days 6 hours 13 min 52 sec,7 km,50 m,0 cm,88973,19001,4845,21,3298,58241,0,0,5 days 8 hours 46 min 2 sec
85,2020 jun. 25 08:55:43,7 days 15 hours 9 min 4 sec,8 km,761 m,94 cm,112001,23597,5958,25,4046,69868,0,0,6 days 9 hours 43 min 20 sec
86,2020 jun. 26 00:00:05,8 days 6 hours 13 min 26 sec,9 km,823 m,91 cm,139709,28616,6007,29,4659,79092,0,0,6 days 14 hours 27 min 5 sec
87,2020 jun. 27 12:21:40,9 days 5 hours 8 min 33 sec,11 km,523 m,68 cm,163901,34083,7027,31,5322,89233,0,0,7 days 5 hours 0 min 13 sec
88,2020 jun. 28 18:51:06,9 days 6 hours 41 min 29 sec,11 km,723 m,54 cm,164162,35043,7047,31,5473,89392,0,0,7 days 5 hours 41 min 2 sec
89,2020 jun. 29 09:01:42,0 days 10 hours 7 min 53 sec,0 km,0 m,0 cm,0,0,0,0,0,0,0,0,7 days 8 hours 18 min 42 sec
90,2020 jun. 30 09:03:06,1 days 10 hours 9 min 17 sec,0 km,0 m,0 cm,0,0,0,0,0,0,0,0,7 days 8 hours 18 min 42 sec
91,2020 jul. 01 08:56:25,2 days 10 hours 2 min 36 sec,0 km,0 m,0 cm,0,0,0,0,0,0,0,0,7 days 8 hours 18 min 42 sec
92,2020 jul. 02 08:36:45,9 days 10 hours 43 min 30 sec,11 km,872 m,49 cm,167480,35460,7047,31,5495,90963,0,0,7 days 7 hours 46 min 37 sec
93,2020 jul. 03 00:00:45,10 days 2 hours 7 min 29 sec,11 km,872 m,49 cm,167480,35460,7047,31,5495,90963,0,0,7 days 7 hours 46 min 37 sec
94,2020 jul. 04 21:49:55,0 days 0 hours 0 min 0 sec,0 km,0 m,58 cm,0,0,0,0,0,0,0,0,0 days 0 hours 0 min 0 sec
95,2020 jul. 05 00:00:56,0 days 2 hours 11 min 0 sec,0 km,0 m,58 cm,0,0,0,0,0,0,0,0,0 days 0 hours 0 min 0 sec
96,2020 jul. 06 08:46:48,1 days 10 hours 56 min 52 sec,0 km,0 m,58 cm,0,0,0,0,0,0,0,0,0 days 0 hours 0 min 0 sec
97,2020 jul. 08 08:46:01,1 days 10 hours 56 min 52 sec,0 km,0 m,58 cm,0,0,0,0,0,0,0,0,0 days 9 hours 48 min 44 sec
98,2020 jul. 09 00:00:02,2 days 2 hours 10 min 53 sec,0 km,0 m,58 cm,0,0,0,0,0,0,0,0,0 days 9 hours 48 min 44 sec
99,2020 jul. 11 13:18:29,2 days 2 hours 10 min 53 sec,0 km,0 m,58 cm,0,0,0,0,0,0,0,0,0 days 0 hours 0 min 0 sec
100,2020 jul. 12 00:00:27,2 days 12 hours 52 min 51 sec,0 km,0 m,58 cm,0,0,0,0,0,0,0,0,0 days 0 hours 0 min 0 sec
101,2020 jul. 13 08:46:31,2 days 12 hours 52 min 51 sec,0 km,0 m,58 cm,0,0,0,0,0,0,0,0,0 days 13 hours 46 min 43 sec
102,2020 jul. 14 09:05:02,2 days 12 hours 52 min 51 sec,0 km,0 m,58 cm,0,0,0,0,0,0,0,0,0 days 0 hours 0 min 0 sec
103,2020 jul. 15 08:48:32,2 days 12 hours 52 min 51 sec,0 km,0 m,58 cm,0,0,0,0,0,0,0,0,0 days 0 hours 0 min 0 sec
104,2020 jul. 15 10:50:02,2 days 12 hours 52 min 51 sec,0 km,0 m,58 cm,0,0,0,0,0,0,0,0,0 days 0 hours 0 min 0 sec
105,2020 jul. 16 00:37:22,2 days 12 hours 52 min 51 sec,0 km,0 m,58 cm,0,0,0,0,0,0,0,0,0 days 0 hours 0 min 0 sec
106,2020 jul. 17 22:32:28,2 days 12 hours 52 min 51 sec,0 km,0 m,58 cm,0,0,0,0,0,0,0,0,0 days 0 hours 0 min 0 sec
107,2020 jul. 18 00:00:28,2 days 14 hours 20 min 50 sec,0 km,0 m,58 cm,0,0,0,0,0,0,0,0,0 days 0 hours 0 min 0 sec
108,2020 jul. 19 00:00:11,2 days 16 hours 48 min 49 sec,0 km,0 m,58 cm,0,0,0,0,0,0,0,0,0 days 0 hours 0 min 0 sec
109,2020 jul. 20 09:00:19,2 days 16 hours 48 min 49 sec,0 km,0 m,58 cm,0,0,0,0,0,0,0,0,0 days 10 hours 36 min 50 sec
110,2020 jul. 21 09:00:39,2 days 16 hours 48 min 49 sec,0 km,0 m,58 cm,0,0,0,0,0,0,0,0,0 days 10 hours 1 min 41 sec
111,2020 jul. 24 08:15:04,2 days 16 hours 48 min 49 sec,0 km,0 m,58 cm,0,0,0,0,0,0,0,0,0 days 0 hours 0 min 0 sec
112,2020 jul. 25 11:57:19,2 days 16 hours 48 min 49 sec,0 km,0 m,58 cm,0,0,0,0,0,0,0,0,0 days 0 hours 0 min 0 sec
113,2020 jul. 26 22:09:41,2 days 16 hours 48 min 49 sec,0 km,0 m,58 cm,0,0,0,0,0,0,0,0,1 days 1 hours 59 min 33 sec
114,2020 jul. 27 07:47:38,2 days 16 hours 48 min 49 sec,0 km,1 m,17 cm,0,0,0,0,0,0,0,0,0 days 0 hours 0 min 0 sec
115,2020 jul. 30 07:52:08,2 days 16 hours 48 min 49 sec,0 km,1 m,17 cm,0,0,0,0,0,0,0,0,0 days 0 hours 0 min 0 sec
116,2020 ago. 01 10:25:47,2 days 16 hours 48 min 49 sec,0 km,1 m,17 cm,0,0,0,0,0,0,0,0,0 days 0 hours 0 min 0 sec
117,2020 ago. 02 09:49:41,3 days 5 hours 0 min 43 sec,0 km,615 m,74 cm,3735,1700,325,3,262,3193,0,0,0 days 9 hours 35 min 52 sec
118,2020 ago. 03 08:09:16,3 days 7 hours 3 min 35 sec,0 km,795 m,4 cm,4209,2089,325,22,277,3980,0,0,0 days 21 hours 27 min 5 sec
